,Xc (mm),n,P10 (mm),P20 (mm),P30 (mm),P40 (mm),P50 (mm),P60 (mm),P70 (mm),P80 (mm),P90 (mm),Xmax (mm)
Random Forest,2.5402866962737427,0.022260836490597617,0.7088597540156416,1.0921204570658887,1.0266053123759664,1.444946547842114,1.823287492086509,1.9551651653709865,2.49152212972225,2.2789197114496704,3.257877772874457,3.927427933533802
SVR,2.666684138119546,0.017354498322742953,0.6555189427401997,0.9966362406416213,1.038221947163254,1.3066314717329623,1.620243913837235,1.7312901878116116,2.3507787419034067,2.1375601041232324,3.6546538670581206,3.6265114740218722
Regresion Lineal,2.2126428425886253,0.020575856511361696,0.7101026090052964,1.182143013361513,0.9911642060435375,1.4277169691820268,1.9217266776504414,1.8507354169308499,2.662193658812839,2.274607471892816,3.6362720334251493,3.890370947837382
